Layer Name,Trait Name,Count,Percentage
Accessories,none,560,11.27
Accessories,green_scarf,130,2.62
Accessories,friendship_bracelet,272,5.47
Accessories,lei_band,281,5.65
Accessories,silver_band,304,6.12
Accessories,candy_necklace,150,3.02
Accessories,blue_scarf,272,5.47
Accessories,wizard_scarf,233,4.69
Accessories,spiked_collar,272,5.47
Accessories,gold hoop,180,3.62
Accessories,silver_chain,269,5.41
Accessories,gold_band,285,5.73
Accessories,boxing_gloves,50,1.01
Accessories,lei,241,4.85
Accessories,spike_band,273,5.49
Accessories,red_scarf,271,5.45
Accessories,grey_scarf,295,5.94
Accessories,gold stud,45,0.91
Accessories,rasta_band,248,4.99
Accessories,ruby_band,52,1.05
Accessories,gold_chain,133,2.68
Accessories,ruby_chain,46,0.93
Accessories,Sythe,11,0.22
Accessories,bag,25,0.5
Accessories,gold_ring,7,0.14
Accessories,golf clubs,13,0.26
Backgrounds,matrix,143,2.88
Backgrounds,sand,442,8.89
Backgrounds,citrus,480,9.66
Backgrounds,damp,457,9.2
Backgrounds,sweet,480,9.66
Backgrounds,sky,493,9.92
Backgrounds,amber,495,9.96
Backgrounds,clouds,135,2.72
Backgrounds,nyan,126,2.54
Backgrounds,moss,419,8.43
Backgrounds,cool,891,17.93
Backgrounds,space,115,2.31
Backgrounds,ether,180,3.62
Backgrounds,bus_stop,114,2.29
Beaks,ciggi,288,5.79
Beaks,plain,1311,26.38
Beaks,blunt,153,3.08
Beaks,blue_vape,426,8.57
Beaks,green_vape,469,9.44
Beaks,straw,550,11.07
Beaks,grey beak,688,13.84
Beaks,bobby beard,79,1.59
Beaks,dribble,484,9.74
Beaks,blood_beak,96,1.93
Beaks,pipe,110,2.21
Beaks,bubblegum,310,6.24
Bodies,off-white,868,17.46
Bodies,orange,445,8.95
Bodies,pink,383,7.71
Bodies,og_grey,807,16.24
Bodies,mfpirrd_orange,109,2.19
Bodies,ether,251,5.05
Bodies,lavender,439,8.83
Bodies,brown,412,8.29
Bodies,blue,428,8.61
Bodies,zombie,71,1.43
Bodies,dove,376,7.57
Bodies,gold,225,4.53
Bodies,mfpirrd _blue,104,2.09
Bodies,skelly,52,1.05
Eyes,cute_eye,445,8.95
Eyes,high_af,241,4.85
Eyes,nouns_blue,213,4.29
Eyes,heart_eyes,246,4.95
Eyes,eye_patch,260,5.23
Eyes,bandit,217,4.37
Eyes,round_glasses,241,4.85
Eyes,clown_eyes_blue,207,4.16
Eyes,clown_eyes_green,204,4.1
Eyes,big_crazy_red,242,4.87
Eyes,big_crazy_orange,248,4.99
Eyes,plain,425,8.55
Eyes,thug_life,164,3.3
Eyes,nouns_red,239,4.81
Eyes,pop_eye,124,2.49
Eyes,3d_glasses,78,1.57
Eyes,nouns_green,234,4.71
Eyes,mfpirrd,241,4.85
Eyes,VR,165,3.32
Eyes,classic_shades,223,4.49
Eyes,mogger,90,1.81
Eyes,tyson,87,1.75
Eyes,lazers,130,2.62
Eyes,bag_head,6,0.12
Hats,grey_cap,114,2.29
Hats,blonde_mohawk,114,2.29
Hats,pilots_cap,65,1.31
Hats,yellow_beanie,95,1.91
Hats,trapper_hat_red,109,2.19
Hats,police_hat,114,2.29
Hats,black_pigtails,81,1.63
Hats,fez,120,2.41
Hats,halo,94,1.89
Hats,rasta,111,2.23
Hats,chef_hat,99,1.99
Hats,none,240,4.83
Hats,arrow,93,1.87
Hats,cap,115,2.31
Hats,red_beanie,88,1.77
Hats,plumber_hat_red,110,2.21
Hats,purple_hair,127,2.56
Hats,ether_mohawk,104,2.09
Hats,green_beanie,107,2.15
Hats,ny_cap,57,1.15
Hats,blue_cap,119,2.39
Hats,mullet,110,2.21
Hats,hard_hat,106,2.13
Hats,ninja,63,1.27
Hats,plumber_hat_green,101,2.03
Hats,green_cap,95,1.91
Hats,brains,116,2.33
Hats,sand_cap,99,1.99
Hats,cowboy,71,1.43
Hats,orange_beanie,99,1.99
Hats,top_hat,76,1.53
Hats,ssj,55,1.11
Hats,bandana,109,2.19
Hats,blonde_pigtails,101,2.03
Hats,asterix,76,1.53
Hats,Middlemarch,76,1.53
Hats,rainbow_mohawk,113,2.27
Hats,helmet,133,2.68
Hats,wicker_hat,139,2.8
Hats,trapper_hat_grey,96,1.93
Hats,black_mohawk,95,1.91
Hats,trapper_hat_green,112,2.25
Hats,island_birds,67,1.35
Hats,red_cap,116,2.33
Hats,beanie,31,0.62
Hats,poker_dealer,48,0.97
Hats,wusgood_cap,17,0.34
Outfits,love_shirt,111,2.23
Outfits,grey_shirt,105,2.11
Outfits,brown_suit,96,1.93
Outfits,green_tie_die,101,2.03
Outfits,red_shirt,102,2.05
Outfits,blue_tie_die,111,2.23
Outfits,astronaut,72,1.45
Outfits,smiley,88,1.77
Outfits,football_shirt,89,1.79
Outfits,hawaiian_shirt,96,1.93
Outfits,none,204,4.1
Outfits,green_bomber,120,2.41
Outfits,3_stripes_red,113,2.27
Outfits,Middlemarch_sweater,51,1.03
Outfits,black_tie_die,109,2.19
Outfits,poker_dealer,99,1.99
Outfits,sweaty,102,2.05
Outfits,red_tie,87,1.75
Outfits,black_supruu,101,2.03
Outfits,police,111,2.23
Outfits,3_stripes_blue,97,1.95
Outfits,red_plumber,103,2.07
Outfits,blue_supruu,114,2.29
Outfits,plain_white_tee,88,1.77
Outfits,pink_bomber,105,2.11
Outfits,daisy_shirt,91,1.83
Outfits,daffodil_shirt,98,1.97
Outfits,rasta_tracksuit,99,1.99
Outfits,ripped up,106,2.13
Outfits,black_suit,44,0.89
Outfits,green_plumber,87,1.75
Outfits,green_supruu,112,2.25
Outfits,3_stripes_black,118,2.37
Outfits,pink overalls,98,1.97
Outfits,white_supruu,89,1.79
Outfits,overalls,102,2.05
Outfits,black_bomber,89,1.79
Outfits,tatted_up,108,2.17
Outfits,chef,106,2.13
Outfits,knicks,95,1.91
Outfits,green_hoodie,55,1.11
Outfits,jailbird,99,1.99
Outfits,mamba,117,2.35
Outfits,blue_bomber,110,2.21
Outfits,louie_hoodie,50,1.01
Outfits,construction,77,1.55
Outfits,black_hoodie,38,0.76
Outfits,g.o.a.t,90,1.81
Outfits,kid_gohan,45,0.91
Outfits,pilot,62,1.25
Outfits,3_stripes_green,96,1.93
Outfits,wusgood_hoodie,14,0.28
Outfits,Gi,48,0.97
